ART1005	0.0	unclassified	I p e p h p e T		«[Activity 2D]»	after«Activity 2d»	cell0«»	head«**Activity 3 Exploring Skyscape**»	owner«[Activity 2D]#2D»
ART1005	0.0	unclassified	p h e p e T		«[Activity 1C]»	after«Activity 1c»	cell0«»	head«**Activity 2 Watch the video “Exploring New Zealand’s Artist»	owner«[Activity 1C]#1C»
CEDO105	1.0	unclassified	h p e h p I I T		«[ACTIVITY 1A]»	after«»	cell0«»	head«What can you move?»	owner«[ACTIVITY 1A]#1A»
CEDR501	8.0	unclassified	e p p e h p T		«[Activity 7C]»	after«Rinse and repeat»	cell0«»	head«Preferences»	owner«[Activity 7C]#7C»
ENFUN05	0.0	unclassified	e p h T		«[Activity 1]»	after«»	cell0«»	head«With punctuation»	owner«[Activity 1]#1B»
ENGI303	6.0	unclassified	e p p p e h T		«[Activity 6A]»	after«»	cell0«»	head«Past tense»	owner«[Activity 6A]#6A»
ENGI405	6.0	unclassified	p p e h p p e T		«[Activity 6A]»	after«My text study»	cell0«»	head«Literary essay assessment»	owner«[Activity 6A]#6A»
ENGS401	5.0	unclassified	e p p h e T		«[Activity 5B]»	after«»	cell0«»	head«Judge’s scorecard»	owner«[Activity 5B]#5B»
MXFU301	9.0	unclassified	p e h p p I T		«[Activity 8C]»	after«Independent and dependent even»	cell0«»	head«Asking questions for investigations»	owner«[Activity 8C]#8C»
MXFU402	6.0	unclassified	h p h p I T		«[Activity 6A]»	after«»	cell0«»	head«Displaying the data»	owner«[Activity 6A]#6A»
PES1005	11.0	unclassified	I h p p T		«[activity 10A]»	after«Solar eclipses.»	cell0«»	head«**Lunar Eclipse**»	owner«[activity 10A]#10A»
PWY1001	2.3.0	unclassified	I h p p T		«[Merged content – Merged item 1: PWO1007: Lesson 0»	after«https://tekura.desire2learn.co»	cell0«»	head«Being trained and supervised»	owner«[Merged content – Merged item #1»
TEDC401	3.0	unclassified	I h p T		«[Activity] 3D»	after«»	cell0«»	head«Sorting the design thinking steps»	owner«[Activity] 3D#3D»
TEDC401	4.0	unclassified	e h T		«[Activity] 4A»	after«»	cell0«»	head«**From sketch to screen | From wireframe to prototype**»	owner«[Activity] 4A#4A»
TEDC401	4.0	unclassified	h h p e T		«[Activity] 4C (note: this activity has 3 parts)»	after«»	cell0«»	head«**Your turn: build your prototype**»	owner«[Activity] 4C (note: this acti#4C»
XGF9001	5.0	unclassified	p h p T		«[Activity 8B]»	after«My creative expression»	cell0«»	head«Your turn»	owner«[Activity 8B]#8B»
XGF9004	9.0	unclassified	p h p T		«[Activity 1E]»	after«Match the terms»	cell0«»	head«Instructions:»	owner«[Activity 1E]#1E»
