gold TRR116_5_0.html 225 | claude TRR116_5_0.html 246
  0 body.container-fluid.reoTranslate «»                                                            | body.container-fluid.reoTranslate «»
  1   div#header «»                                                                                 |   div#header «»
  2     div#module-code «»                                                                          |     div#module-code «»
  3       h1 «5.0»                                                                                  |       h1 «5.0»
  4     h1>span «Ngā Kupu Āhukahuka»                                                                |     h1>span «Ngā Kupu Āhukahuka»
  5       span «Ngā Kupu Āhukahuka»                                                                 |       span «Ngā Kupu Āhukahuka»
  6     h1>span «Sight Words»                                                                       |   div#body «»
  7       span «Sight Words»                                                                        |     div.row «»
  8   div#body «»                                                                                   |       div.col-12.col-md-8 «»
  9     p>b «NOTE: Just check all activities in this module hav»                                    |         div.activity[number=*] «»
 10       b «NOTE: Just check all activities in this module hav»                                    |           div.row «»
 11     div.row «»                                                                                  |             div.col-12 «»
 12       div.col-12.col-md-8 «»                                                                    |               h2 «Kei»
 13         div.activity.interactive[number=*] «»                                                   |               h2 «Kei»
 14           div.row «»                                                                            |               p>b «Ko te he kupu e hiahia ana tātou kia mōhio tonu at»
 15             div.col-12 «»                                                                       |                 b «kupu āhukahuka»
 16               h3 «Kei»                                                                          |               p «A ( is a word that we want to be able to recognise»
 17               p «Ko te kupu āhukahuka he kupu e hiahia ana tātou ki»                            |                 b «sight word»
 18               p «A sight word (kupu āhukahuka) is a word that we wa»                            |                 b «kupu āhukahuka)»
 19               p «Mā te ako i te āhua me te tangi o ngā kupu āhukahu»                            |               p «Mā te ako i te āhua me te tangi o ngā kupu āhukahu»
 20               p «Learning the shape and sound of a sight word will »                            |               p «Learning the shape and sound of a sight word will »
 21               p «Me ako tātou i te kupu "āhukahuka":»                                           |               p>b «Me ako tātou i te kupu “ ”:»
 22               p «Let's learn the word "sight" (āhukahuka):»                                     |                 b «āhukahuka»
 23               p.center-text.sassoonI-text «Kei»                                                 |               p>b «Let’s learn the word “ ” (āhukahuka):»
 24                 span.audioButton «»                                                             |                 b «sight»
 25                 span «Kei»                                                                      |               h2 «kei»
 26               p «He maha ngā momo whakamahinga o te kupu 'kei' i ro»                            |               h2 «kei»
 27               p «The word 'kei' is used in lots of different ways i»                            |               p>b «He maha ngā momo whakamahinga o te kupu i roto i t»
 28               p «Me whakamahi tātou i tēnei kupu hei ui kei hea te »                            |                 b «‘kei’»
 29               p «Let's use it to ask where the cat is?»                                         |               p>b «The word is used in lots of different ways in te r»
 30               p.center-text.sassoonI-text «Kei hea te ngeru?»                                   |                 b «‘kei’»
 31                 span.audioButton «»                                                             |               p «Me whakamahi tātou i tēnei kupu hei ui kei hea te »
 32                 span «Kei hea te ngeru?»                                                        |               p «Let’s use it to ask where the cat is?»
 33               p «Where is the cat?»                                                             |               p>b «Kei hea te ngeru?»
 34               p «I te mea he pātai tēnei, me whakamahi tātou i te t»                            |                 b «Kei hea te ngeru?»
 35               p «Because it is a question, we need a question mark »                            |               p>b «Where is the cat?»
 36           div.row «»                                                                            |                 b «Kei hea te ngeru?»
 37             div.col-12.col-md-8 «»                                                              |               p «I te mea he pātai tēnei, me whakamahi tātou i te t»
 38               h3 «Ngā Tohutohu Hei Mahi»                                                        |               p «Because it is a question, we need a question mark »
 39               h3 «Activity Instructions:»                                                       |               audio.audioPlayer.icon «»
 40               p «Pāwhiria te kupu 'kei' ki roto i ngā rerenga kōrer»                            |               audio.audioPlayer.icon «»
 41               p «Click on the word 'kei' in the sentences below.»                               |               audio.audioPlayer.icon «»
 42               WIDGET «»                                                                         |               audio.audioPlayer.icon «»
 43       div.col-12.col-md-4.offset-md-0.paddingL «»                                               |     div.row «»
 44         div.alertActivity.right «»                                                              |       div.col-12.col-md-8 «»
 45           div.row «»                                                                            |         div.row «»
 46             div.col-12 «»                                                                       |           div.col-12.col-md-4.offset-md-0 «»
 47               p «Ko te tauākī he rerenga kōrero e whakamōhio mai an»                            |             div.alertActivity «»
 48               p «A statement is a sentence that tells us something,»                            |     div.row «»
 49               p «Ko te pātai he rerenga kōrero e ui mai ana i tētah»                            |       div.col-12.col-md-6 «»
 50               p «A question asks us something, it wants to find out»                            |         p «A is a sentence that tells us something, it gives »
 51     div.row «»                                                                                  |           b «statement»
 52       div.col-12.col-md-8 «»                                                                    |           b «full-stop»
 53         div.activity.interactive[number=*] «»                                                   |         p «A asks us something, it wants to find out informat»
 54           div.row «»                                                                            |           b «question»
 55             div.col-12 «»                                                                       |           b «question-mark»
 56               h3 «Kei»                                                                          |       div.col-12.col-md-6 «»
 57               p «Ka taea e tātou te whakautu i te pātai Kei hea? mā»                            |         p>b «Ko te tauākī he rerenga kōrero e whakamōhio mai an»
 58               p «We can answer the question, Kei hea? using the kup»                            |           b «irakati»
 59               div.row «»                                                                        |         p>b «Ko te pātai he rerenga kōrero e ui mai ana i tētah»
 60                 div.col-12.col-md-8.offset-md-2 «»                                              |           b «tōhu pātai»
 61                   img.img-fluid «»                                                              |     div.row «»
 62               p.center-text.sassoonI-text «Kei hea te ngeru?»                                   |       div.col-12.col-md-8 «»
 63                 span.audioButton «»                                                             |         div.activity.interactive[number=*] «»
 64                 span «Kei hea te ngeru?»                                                        |           div.row «»
 65               p.center-text.sassoonI-text «Kei roto i te pouaka.»                               |             div.col-12 «»
 66                 span.audioButton «»                                                             |               h3 «Ngā Tohutohu Hei Mahi»
 67                 span «Kei roto i te pouaka.»                                                    |               h3 «Activity Instructions:»
 68               p «Inā whakautu tātou i tētahi pātai, kāore e whakama»                            |               p>b «Pāwhiria te kupu ki roto i ngā rerenga kōrero kei »
