ACT	AGH1001	h4(ELEMENT)	h4+alert	["4"]	[H4] [Alert blank] » Reflective Questions:
ACT	ANZH401	h3(ELEMENT)	alert+h3	["3"]	[Alert box] [H3] Want to Travel Back in Time? » 
ACT	ANZH401	h3(ELEMENT)	alert+shape n+h3	["3"]	[Alert – Breakout Box] [H3] » Have you caught ‘gold fever’?
ACT	ANZH401	h3(ELEMENT)	alert+shape n+h3	["3"]	[Alert – breakout box] [H3] Social Science Conventions » 
ACT	ANZH401	h3(ELEMENT)	alert+shape n+h3	["3"]	[Alert – Breakout Box] [H3] » Once a Panther
ACT	ARFUN04	h3(ELEMENT)	activity+shape n+h3	["1i","3"]	[Activity 1I Tick box] [H3] » **What have I learned?**
ACT	BLL255	h5(ELEMENT)	important+h5+body	["5"]	[alert solid] Not sure if this is the correct annotation. I would just » 
ACT	CEDO502	h3(ELEMENT)	important+h3	["3"]	[Important] [H3] » Why manageable debt can be good
ACT	CEDR203	h3(ELEMENT)	alert+h3	["3"]	[Alert RHS] [H3] » Did you know? In the video, ākonga talk 
ACT	CEDT501	h3(ELEMENT)	important+h3	["3"]	[Important] [H3] » Step 1: Take a screenshot
ACT	CEDT501	h3(ELEMENT)	important+h3	["3"]	[Important] [H3] » Step 2: Don’t respond
ACT	CEDT501	h3(ELEMENT)	important+h3	["3"]	[Important] [H3] » Step 3: Report it
ACT	CEDT501	h3(ELEMENT)	important+h3	["3"]	[Important] [H3] » Step 4: Block the person
ACT	CEDT501	h3(ELEMENT)	important+h3	["3"]	[Important] [H3] » Tell someone you trust
ACT	CHI1004	heading(ELEMENT)	whakatauki+heading+image	[]	[ insert Whakatauki and the images under heading ‘Introduction’] » 
ACT	CHI1005	heading(ELEMENT)	whakatauki+heading+image	[]	[ insert Whakatauki and the images under heading ‘Introduction’] » 
ACT	ENG1004	h4(ELEMENT)	alert+h4	["4"]	[Alert] Note to developer, can this be at the top, on the righthand si » What is “context?”
ACT	ENG1004	h3(ELEMENT)	alert+alert+shape n+h3	["3"]	[Alert note to designer, could this alert have a box around it] [H3] » Assessment conditions
ACT	ENG1005	h3(ELEMENT)	alert+alert+shape n+h3	["3"]	[Alert note to designer, could this alert have a box around it] [H3] » Assessment conditions
ACT	ENG1005	h4(ELEMENT)	alert+h4	["4"]	[Alert] [H4] » Worldview definition:
ACT	ENG1005	h4(ELEMENT)	alert+h4	["4"]	[Alert] [H4] » Worldview definition:
ACT	ENG1007	h3(ELEMENT)	alert+alert+shape n+h3	["3"]	[Alert note to designer, could this alert have a box around it] [H3] » Assessment conditions
ACT	ENGI400	heading(ELEMENT)	activity+heading+image	["2a"]	[Activity 2A add image just under heading] » 
ACT	EXBP901	h2(ELEMENT)	alert+h2	["2"]	[Alert] [H2] » The EPIC database.
ACT	EXIP901	h2(ELEMENT)	alert+h2	["2"]	[Alert] [H2] » The EPIC database
ACT	GENO901	heading(ELEMENT)	activity+heading	["3","4a"]	[H3 Activity 4A] » 4A Autokennzeichen – German numberplates
ACT	HPRE301	h3(ELEMENT)	alert+h3	["3"]	[Alert] [H3] » Enhancing friendships: HPFUN303
ACT	HPRE301	h3(ELEMENT)	alert+h3	["3"]	[Alert] [H3] » Enhancing friendships: HPFUN303
ACT	HPRE301	h3(ELEMENT)	alert+h3	["3"]	[Alert] [H3] » Enhancing friendships: HPFUN303
ACT	HPRE301	h3(ELEMENT)	alert+h3	["3"]	[Alert] [H3] » I am: HPEFUN303
ACT	HPRE301	h3(ELEMENT)	alert+h3	["3"]	[Alert] [H3] » Enhancing friendships: HPFUN303
ACT	MXDI301	heading(ELEMENT)	activity+heading	["3","1c"]	[H3 Activity 1C] » Whole numbers, decimals and the powers o
ACT	MXDI301	heading(ELEMENT)	activity+heading	["3","3a"]	[H3 Activity 3A] » Describing and continuing patterns
ACT	MXDI301	heading(ELEMENT)	activity+heading	["3","6c"]	[H3 Activity 6C] » Identifying linear patterns in tables
ACT	MXDI301	heading(ELEMENT)	activity+heading	["3","7b"]	[H3 Activity 7B] » Recognising linear patterns
