modules 218; WT∩gold shingles 758011; lost (not in any Claude page) 22382 (0.030)
CHFUN05   lost    709 /   7154 (0.10)  | 1 i dont like fish w b x huan y 2 i didnt do homework yesterday || two people objects or things i can make simple comparison sentences how to use b to || or even a bit awkward h n adjective examples flip the card to see
WJFUN116  lost    701 /   4775 (0.15)  | knowledge choosing the right language style register such as formal or informal helps make the writing clear and suitabl || the centre of new zealand on a sunny afternoon liam and his dad set off to walk to the famous centre of new zealand look || as blue as the sky and the city sparkled in the sunshine around them the flowers danced happily in the breeze and the tr
ENGS404   lost    662 /   5617 (0.12)  | create an image of a male in his early thirties who is slim with slightly looser fitting smart casual business wear sitt || create image of office worker in an office in the foreground with some of his work mates in the background but in focus  || park thinking and woman lying with diary to journal emotion thoughts and experience outdoor nature female writer and boo
BLL240    lost    545 /   3645 (0.15)  | different trigraphs that make the air and ear sound you are now ready to start module 1 go back to the landing page and  || congratulations on completing this module where we have learned about the digraph wh and the trigraphs tch and dge we ha || we all wear clothes when we go outside draw your favourite things to wear when you go to the park or to a special place
CEDO501   lost    538 /  11989 (0.04)  | surfer surf and portrait of teenager with surfboard at the beach sea and ocean in sunset with mockup space young ready a || university student and man in portrait outdoor on campus with book for education learning and scholarship gen z person a || digital search icon on future tech background search engine evolution futuristic search icon in world of technological p
TWHA906   lost    481 /   6935 (0.07)  | dev on each slide there will be 2 pictures of food and 1 interactive quiz with a tick box option answers should be revea || https media istockphoto com id 2193122069 photo close up of a new shoot of plant in dry cracked clay mud in dried up lak || as the cookie jar https media istockphoto com id 2202549219 vector set of various cookies biscuit with chocolate chips w
WJFUN206  lost    428 /   2570 (0.17)  | your paragraph and explain what phrase did you add where did you place it beginning middle or end how did it improve you || a traditional canoe moved slowly across the river one person said look at that amazing waka before you submit check i us || beach in the early morning the water full of movement sparkled in the sunlight reflection choose one sentence from your
XGF9001   lost    390 /  17378 (0.02)  | in this final section of the module you will begin to explore what your future might look like by reflecting on your val || the greats of being gifted are the exciting strengths that come with it like deep thinking creativity curiosity and a pa || the gripes of being gifted are the challenges or frustrations that can come with thinking and feeling differently like b
WJFUN115  lost    386 /   4368 (0.09)  | knowledge ideas are expressed more clearly precisely or vividly when the right words are chosen writers use special lang || practices selecting and using adjectives adverbs vocabulary and phrases that give clear details about an object or actio || i can identify adjectives adverbs interesting word choices and phrases identify alliteration rhyme onomatopoeia repetiti
CEDO502   lost    376 /  10733 (0.04)  | is relevant to ruas purpose because it helps her decide whether buy now pay later is a good option it shows that even th || is relevant to ruas scope because it focuses on one part of the topic the risks of buy now pay later it explains what ca || a closed question can be answered with a short response usually yes no or a single fact example do you like your job wha
PNR104    lost    338 /   1757 (0.19)  | i a koe ki te tapahi i tō parāoa ki ngā wāhanga e 4 tatau i ia wāhanga i a koe e kai ana he aha atu ngā mea e taea ana e || the next time you are having a sandwich or a piece of toast ask someone to help you cut it into 4 pieces count each piec || ko te tapawhā tētahi āhua e whā ōna rārangi ōrite te nui e whā hoki ngā rārangi o te tapawhā hāngai engari ko ētahi rāra
