Claude box | gold box | instructions | modules | Claude pages | examples
NO instr / LONG        | NO instr / LONG        |   21 |   8 |  21 | AGH1001 2A: WT «watch these videos and complete the activity 2a and 2b in yo» | Claude opens «can you match the correct primary product to the correct exp» | gold opens «value of primary products» ;; AGH1001 5A: WT «complete activity 5a and 5b in your learners journal» | Claude opens «watch the country calendar episode above use the information» | gold opens «farming in new zealand» ;; AGH1004 5A: WT «button complete
NO instr / short       | NO instr / LONG        |    9 |   6 |   8 | AGH1001 3A: WT «go to your learning journal and complete activity 3a» | Claude opens «drag and drop the correct māori names of the gods onto their» | gold opens «māori creation story» ;; AGH1004 2A: WT «button complete activity 2a in your learning journal» | Claude opens «take a look at the sketchfab activity by selecting the butto» | gold opens «knowledge self check» ;; AGH1005 2A: WT «button complete activity 2a in
NO instr / LONG        | NO instr / short       |    8 |   5 |   7 | AGH1001 1A: WT «complete activity 1a in your learners journal» | Claude opens «interactive un built 1 interactive activity inline see agh10» | gold opens «what are primary products» ;; AGH1004 1A: WT «button complete activity 1a in your learning journal» | Claude opens «knowledge self check» | gold opens «purpose» ;; AGH1007 1A: WT «go to your leaners journal and complete activity 1a and 1b» | Claude opens «complete 
NO instr / LONG        | no box                 |    8 |   2 |   6 | AGH1003 2X: WT «complete activity 2x in your learning journal» | Claude opens «irrigation is adding water to soil through a range of irriga» | gold opens «-» ;; AGH1003 3X: WT «go to your learning journal and complete activity 3x» | Claude opens «there are a range of different methods used to apply fertili» | gold opens «-» ;; AGH1003 4X: WT «go to your learning journal and complete activity 4x» | Claude opens «addin
NO instr / LONG        | carries instr / short  |    7 |   3 |   6 | AGH1002 2B: WT «go to your learning journal and complete activity 2b» | Claude opens «soil structure» | gold opens «soil practical texture by sedimentation» ;; AGH1002 3A: WT «go to your learning journal and complete activity 3a» | Claude opens «respiration» | gold opens «plant growth and light experiment» ;; AGH1002 3B: WT «go to you learning journal and complete activity 3b» | Claude opens «soil conditions can impa
no box                 | NO instr / LONG        |    5 |   3 |   0 | AGH1006 6A: WT «button complete activity 6a in your learning journal» | Claude opens «-» | gold opens «training practices» ;; AGH1006 6B: WT «button complete activity 6b in your learning journal» | Claude opens «-» | gold opens «knowledge check» ;; GENO901 1D: WT «merged item 1 from 4 red text red text th red text red text » | Claude opens «-» | gold opens «greetings eintopf» ;; GENO901 7A: WT «combine merged item 5 
carries instr / LONG   | NO instr / LONG        |    3 |   2 |   3 | AGH1004 2B: WT «button complete activity 2b in your learning journal» | Claude opens «can you drag and drop the correct primary product to its reg» | gold opens «knowledge self check» ;; AGH1004 3A: WT «button complete activity 3a in your learning journal» | Claude opens «have a look at the gdd charts for grape crops in both the ne» | gold opens «growing degree days» ;; AGH1005 1A: WT «button complete activity 1a in 
carries instr / LONG   | NO instr / short       |    2 |   2 |   2 | AGH1004 4A: WT «button complete activity 4a in your learning journal red tex» | Claude opens «on the regional map of new zealand place the following colou» | gold opens «soils» ;; AGH1005 5A: WT «button complete activity 5a in your learning journal» | Claude opens «factors that influence the rate of transpiration are» | gold opens «factors of transpiration»
no box                 | NO instr / short       |    2 |   2 |   0 | AGH1006 1A: WT «button complete activity 1a in your learning journal» | Claude opens «-» | gold opens «practical examples» ;; AGH1009 1A: WT «button complete activity 1a in your red text red text journa» | Claude opens «-» | gold opens «why are matauranga māori values important»
no box                 | no box                 |    2 |   1 |   0 | AGH1006 2B: WT «button complete activity 2b in your learning journal» | Claude opens «-» | gold opens «-» ;; AGH1006 5B: WT «button complete activity 5b in your learning journal» | Claude opens «-» | gold opens «-»
NO instr / short       | NO instr / short       |    1 |   1 |   1 | AGH1001 4A: WT «button complete activity 4a and 4b in your learners journal» | Claude opens «in the space below brainstorm the key features of each of ne» | gold opens «new zealands four seasons»
NO instr / short       | carries instr / short  |    1 |   1 |   1 | AGH1002 2C: WT «go to your red text red text learning red text red text jour» | Claude opens «» | gold opens «a smashed structure experiment»
carries instr / LONG   | carries instr / short  |    1 |   1 |   1 | AGH1005 8A: WT «button complete activity 8a in your learning journal» | Claude opens «interactive un built 17 draganddrop activity inline see agh1» | gold opens «how plants flower and produce fruit»
NO instr / LONG        | carries instr / LONG   |    1 |   1 |   1 | AGH1008 3C: WT «go to your learning journal and complete activity 3c» | Claude opens «remember that manaakitanga means reciprocity or a relationsh» | gold opens «checkpoint»
no box                 | carries instr / short  |    1 |   1 |   0 | AGH1009 2A: WT «button complete activity 2a in your learning journal» | Claude opens «-» | gold opens «the nitrogen cycle and carbon cycle diagrams»
TOTAL 72
