modules 517; WT∩gold shingles 1658997; lost (not in any Claude page) 30813 (0.019)
CHFUN05   lost    624 /   6847 (0.09)  | two people objects or things i can make simple comparison sentences how to use b to || or even a bit awkward h n adjective examples flip the card to see || zhī measure word for animals we are learning to use zhī as the standard
WJFUN116  lost    610 /   4683 (0.13)  | knowledge choosing the right language style register such as formal or informal helps make the writing clear and suitabl || the centre of new zealand on a sunny afternoon liam and his dad set off to walk to the famous centre of new zealand look || as blue as the sky and the city sparkled in the sunshine around them the flowers danced happily in the breeze and the tr
ENGJ402   lost    574 /  10643 (0.05)  | bag drifting through the wind and feeling like a house of cards to describe feelings of aimlessness fragility and the de || bag drifting through the wind and feeling like a house of cards the song title firework evokes an image of something whi || and the desire for renewal in firework katy perry addresses feelings of being lost and in need of change similarly in em
MXDI201   lost    544 /   7387 (0.07)  | this lesson is based on the picture book a place for zero by angeline sparagna lopresti the story is about the digit zer || throughout this lesson you will have an opportunity to use large numbers you will draw on skills that you have practised || a million written by david m schwartz and illustrated by steven kellogg the story will help you picture what 1 million l
TWHA906   lost    419 /   6892 (0.06)  | https media istockphoto com id 2193122069 photo close up of a new shoot of plant in dry cracked clay mud in dried up lak || https www istockphoto com photo future on the road in the middle of asphalt road with at sunset forward business gm22133 || as the cookie jar https media istockphoto com id 2202549219 vector set of various cookies biscuit with chocolate chips w
ART1004   lost    408 /   1377 (0.30)  | new zealand has had along with te ao māori the māori world a significant influence on tāmati growing up in this thoughtf || in your art pack there will be an a3 drawing pad and an a3 clear file to store your course work in you will need the cam || and pepeha you will acquire a basic understanding of portraiture and exhibition conventions and use this to inform a fin
BLL240    lost    349 /   3410 (0.10)  | dge air ear ere eer tirohanga whānui overview knowledge many sounds phonemes || more about the wh sound the wh sound phonics video scratch garden || link https mytekuraschool sharepoint com w s tearawhakamua381 iqbhwd1iapsns4cpfqbdvre7ar50duv3thvir4fw7zx2its e h8yb4w
HIS1005   lost    343 /  19059 (0.02)  | bitter fruit southern trees bear strange fruit blood on the leaves and blood at the root black bodies swinging in the so || source https www theatlantic com video index 402172 the only american museum about slavery in his book a study || open your journal to see instructions about how to use this resource and complete the mapping activity
TWHK902   lost    339 /   2016 (0.17)  | i can recognise the key issues within climate change identify mātauranga māori concepts related to climate change such a || climate change and global warming understand our role in protecting our planet by helping to prevent or minimise climate || welcome to this module on climate change and global warming it is part of a series of lessons on being a good citizen an
HIS1002   lost    338 /  15674 (0.02)  | unfortunately the us had different intentions for palau the pentagon wanted one third of palaus precious land and its de || source international court of justice request for the indication of interim measures of protection submitted by the gove || request for protection of rights request for the indication of interim measures of protection submitted by the governmen
PNR104    lost    338 /   1651 (0.20)  | i a koe ki te tapahi i tō parāoa ki ngā wāhanga e 4 tatau i ia wāhanga i a koe e kai ana he aha atu ngā mea e taea ana e || the next time you are having a sandwich or a piece of toast ask someone to help you cut it into 4 pieces count each piec || ko te tapawhā tētahi āhua e whā ōna rārangi ōrite te nui e whā hoki ngā rārangi o te tapawhā hāngai engari ko ētahi rāra
GEO1006   lost    330 /   4922 (0.07)  | hydraulic action where the sheer force of fast flowing water hits the riverbanks and riverbeds and forces water into the || impacts of flooding you will now go to your learning journal to complete activity 5b impacts of changes in river process || fluvial processes and features you will now go to your journal to complete activity 4e fluvial processes and features go
COM1006   lost    324 /   3211 (0.10)  | kawerau paper mill closure made 160 people redundant this is an example of a negative impact on the who were employed at || q1 fifa womens world cup 2023 hosted by new zealand attracts international attention and media coverage this event is li || european union opens up new export opportunities for local businesses this agreement has a impact on new zealands a nega
WJFUN115  lost    316 /   3687 (0.09)  | knowledge ideas are expressed more clearly precisely or vividly when the right words are chosen writers use special lang || practices selecting and using adjectives adverbs vocabulary and phrases that give clear details about an object or actio || i can identify adjectives adverbs interesting word choices and phrases identify alliteration rhyme onomatopoeia repetiti
WJFUN206  lost    315 /   2520 (0.12)  | your paragraph and explain what phrase did you add where did you place it beginning middle or end how did it improve you || wairaka acted when she saw the waka question 8 balanced detail meaning which sentence gives detail and explanation toget || the waka moved because the tide changed question 3 explanation which sentence best explains why something happened
CEDK401   lost    307 /   6826 (0.04)  | hands this whakataukī is a metaphor for resilience and self determination if we look after the || kei aku ringa is a metaphor for resilience and self determination if we look after the || we eat has an environmental impact food is an essential resource to ensure human survival
BLL110    lost    306 /   2812 (0.11)  | supervisor note sometimes s makes a z sound this happens when your voice is turned on if you say the s sound like at the || learn to read vowel sound short phonics for kids science of reading || short vowels lesson 8 short vowel i it ix 4 step phonics
XGF9001   lost    296 /  17050 (0.02)  | in this final section of the module you will begin to explore what your future might look like by reflecting on your val || the module is all about understanding and managing intensities and celebrating your strengths giftedness often comes wit || or reflecting on your thoughts b drawing making music or storytelling c talking to others and sharing
WJFUN307  lost    295 /   2889 (0.10)  | words and language features to suit the texts audience and purpose words that are synonyms carry subtle differences in t || know i have learned it i can identify words that have similar meanings but create different effects select the most suit || communicate ideas to an audience use language features deliberately to support the purpose of my writing justify my lang
PNR102    lost    281 /   1397 (0.20)  | where could you use your finger to write the number 2 in the sand in the dirt in some dust using your finger as a pen is || tuhi i te tau 2 mā tō matimati ki te kirikiri ki te paru ki te puehu rānei he rawe te whakamahi i tō matimati hei pene e || he aha ētahi mea takirua kei te taiwhanga o tō kāinga ka taea e koe te hanga takirua mā ō taonga mā o kākahu rānei
FRFUN06   lost    262 /   4895 (0.05)  | sentence 1 is missing an accent sentence 2 is the correct version of sentence 1 sentence 3 is missing an accent sentence || a un chien possession direction 2 il va paris possession direction 3 o est la gare possession || the end of a word c r f l you might find it helpful
WJFUN211  lost    247 /   2136 (0.12)  | mt ruapehu if needed return to lesson 1 to revisit the videos and information about your chosen location in the quiz you || write a descriptive paragraph of 150 to 250 words about your chosen location your writing must use imagery to help reade || create vivid images and effects now it is time to combine everything you have learned about figurative language imagery 
HIS1003   lost    245 /  10249 (0.02)  | an open letter to the minister of labour in national government william bill sullivan printed as a leaflet to be handed  || an illegal flyer printed to be handed out to the public to explain the position of the wellington waterside workers unio || a big idea of history historical narratives are constructed from a range of sources in this lesson you are
MXFU301   lost    243 /  10878 (0.02)  | 10 you have an equal chance of picking out any one of the 10 marbles however when we work with || 3 you can pick out a red marble or a blue marble or a green marble || 2 you can land on the red segment or the blue segment 3
BLL171    lost    241 /   1653 (0.15)  | and discuss what you notice https www istockphoto com photo night empty road with modern led street lights entrance to a || you to write it down can we create flip cards that open for 3 seconds and then flip back again also when the card is fli || story bump went the bus can be found https speldsa org au pages speld sa phonic books jp in set 7 when you
SSCI104   lost    229 /   6971 (0.03)  | look at the picture of kiri and rocko imagine they stumbled into a portal and have been transported back in time to the  || letter writing task write a letter to both kiri and rocko or one of them warning them of the dangers they could face in  || questions click the hint button a look inside one of the remains of a home in skara brae
XGF9006   lost    215 /   9910 (0.02)  | helps us learn and grow how to give feedback this video has two young children sharing tips and tricks on how to give pe || how to give constructive and actionable peer feedback this is a deeper look into the skills of giving feedback to each o || is the ocean made of clean up technology pollution sea creatures that are blue recycling marine ecosystems trash is bad
MXFL203   lost    215 /   4981 (0.04)  | games of probability probability is the likelihood that something will happen probability is most commonly shown as a fr || lesson you will learn about calendars you will learn what a calendar is and where they are from then you will practice r || lesson you will learn about different types of fractions including where fractions are in everyday life what proper impr
OSSC401   lost    214 /   3886 (0.06)  | sextortion is a scam that targets many young people it is when someone threatens to expose intimate images and videos un || reality the article claims but doesnt link to any research or credible sources incorrect facts incorrect details such as || reality a parody news site post meant as a joke not real bad journalism news items that are poorly researched or without
MXFL204   lost    212 /   3835 (0.06)  | trends refer to the direction or where the data is going it could be upward if it is increasing or downward if it is dec || unreliable data it is important to understand that not all data is accurate or reliable sometimes data is deliberately d || once the data from surveys questionnaires or interviews is collected it is time to analyse what was found analysing mean
MXFL302   lost    210 /  12023 (0.02)  | to multiply fractions by fractions multiply fractions by whole numbers multiply mixed numbers convert between measuremen || caters for 50 people 4 50 1 50 answer arias ratio becomes 200 || letters in the correct places use the gema rule when
ENGJ302   lost    208 /  12633 (0.02)  | there are eight clear emotive phrases in this poem use the clues below to help you find them and type them into the spac || capybara tuatara wētā sea otter meerkat glass frog quokka pika blobfish manatee fennec fox three toed sloth dumbo octopu || like to approach new learning he aha tāku hei tīmata what do i need to
MXFUN01   lost    203 /   5422 (0.04)  | 2 tens and 3 ones could the same image of the place value house be used from module mxdi103 lesson 3 activity 3c as show || and division facts to scale quantities when they are a bit trickier than doubling and halving click below to find out ho || www twinkl co nz resource finding factors and multiples game au n 2549311 square numbers a square number
CEDR401   lost    200 /   7459 (0.03)  | text to self i am a caring person but how does caring about people help the environment i was wondering about that too y || text to text two of them were about young people will the old people help too i hope so everyone should help all the wri || text to world was only one of them about aotearoa new zealand yes just one do you think things that work in other countr
