=== CEDR302 CEDR302_0_0.html  (Claude menu elements 89; over 24)
   claude p          Use the tabs, to begin your exploration of shadows, and pr | gold p        in .accordion > .accHead > .accContent           | WT: 
   claude p          You will need some equipment for this inquiry. Click on th | gold p        in .accordion > .accHead > .accContent           | WT: 
   claude p          You can refer to this equipment list at any time by clicki | gold p        in .accordion > .accHead > .accContent           | WT: 
   claude p          When we wonder about light and dark, we can consider the i | gold p        in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          A good first step is to brainstorm what you know about sha | gold p        in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          You will find some help with brainstorming in the links on | gold p        in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude li         Have I read stories about Papatūānuku and Ranginui? What d | gold li       in .accordion > .accHead > .accContent           | WT: 
   claude p          Share your prior knowledge and ideas about light and dark  | gold p        in .activity.dropbox > .row > .col-md-12.col-12  | WT: 
   claude li         Read the text we’ve included here and see if you can find  | gold li       in d-0.col-12.paddingL > .row > .col-md-8.col-12 | WT: 
   claude p          Mix and match calendar months and what actions to be taken | gold li       in d-0.col-12.paddingL > .row > .col-md-8.col-12 | WT: 
   claude p          Describe the actions required for each of these practices. | gold li       in d-0.col-12.paddingL > .row > .col-md-8.col-12 | WT: 
   claude p          What other questions do you have? What are you curious abo | gold p        in d-0.col-12.paddingL > .row > .col-md-8.col-12 | WT: 
   claude p          Connecting with something or someone creates a relationshi | gold p        in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          You have explored some pātai and found out some new inform | gold p        in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          Share a personal reflection in My Korowai. You can use the | gold p        in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          What are three interesting things you learned about light  | gold li       in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          What are you still curious about? What could you do to fin | gold li       in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          There are more prompts below to guide your thinking and re | gold p        in .inquiryPanel > .row > .col-md-8.col-12       | WT: 
   claude p          Your kaimanaaki loves to find out about your learning jour | gold p        in .activity.alertPadding > .row > .col-12       | WT: 
   claude p          The question prompts connect back to the Success Criteria  | gold p        in .activity.alertPadding > .row > .col-12       | WT: 
   claude li         Discuss the main events in the Māori creation story        | gold li       in .alert > .row > .col-12                       | WT: 
   claude li         Explain two or more purposes of the Maramataka within your | gold li       in .alert > .row > .col-12                       | WT: 
   claude li         Showed/explained that light cannot pass through some objec | gold li       in .alert > .row > .col-12                       | WT: 
   claude li         Explained / showed how shadows can change in shape and len | gold li       in .alert > .row > .col-12                       | WT: 
