fate | Claude container | gold | links | pages | modules | examples
KEPT      | -               | gold no <a> |  2818 |    0 | 293 | AGH1001: «**Maramataka explained - RNZ s» teara.govt.nz/en/speech/5389/when-to-pla ;; AGH1001: «Farm manager» rnz.co.nz/national/programmes/countrylif ;; AGH1001: «farm worker» ruralnewsgroup.co.nz/rural-news/rural-ge
TEXT LOST | -               | gold no <a> |   773 |    0 | 356 | AGH1001: «Early copyright review.docx» mytekuraschool.sharepoint.com/:w:/s/tear ;; AGH1002: «Early copyright review.docx» mytekuraschool.sharepoint.com/:w:/s/tear ;; AGH1003: «Early copyright review.docx» mytekuraschool.
KEPT      | -               | gold <a>    |   711 |    0 | 106 | AGH1001: «Kiwi Kai interactive game» kiwikai.nz ;; AGH1004: «Taewa - Māori potato» sciencelearn.org.nz/videos/385-taewa-are ;; AGH1006: «crop rotation cycle» homesteadandchill.com/crop-rotation-bene
HREF LOST | table           | gold no <a> |   388 |   63 |  54 | AGH1006: «clovers» images.app.goo.gl/bbr8pq4pbmkdoaaca ;; AGH1006: «Beet» images.app.goo.gl/rufgd9s7ghpngqgh6 ;; BLL115: «[audio]» drive.google.com/drive/u/0/folders/1lbrv
HREF LOST | ?               | gold no <a> |   239 |   84 |  74 | AGH1006: «*https://homesteadandchill.com» apc01.safelinks.protection.outlook.com/? ;; AGH1006: «*https://homesteadandchill.com» apc01.safelinks.protection.outlook.com/? ;; AGH1009: «| Stuff.co.nz» stuff.co.nz/business/fa
HREF LOST | body            | gold no <a> |   195 |   94 |  79 | AGH1006: «https://tekura.desire2learn.co» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «https://tekura.desire2learn.co» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «https://tekura.desire2learn.co» tekura
HREF LOST | cv2-interactive | gold no <a> |   171 |   91 |  68 | AGH1006: «Apple Growing Calendar of Oper» mytekuraschool.sharepoint.com/:w:/s/tear ;; AGH1006: «dropdown» tekura.desire2learn.com/d2l/le/content/1 ;; ANZH105: «Flip Cards» docs.google.com/presentation/d/1vx-7k69f
HREF LOST | accordion       | gold no <a> |    75 |   23 |  22 | AGH1004: «silt soil» stock.adobe.com/nz/search/images?filters ;; AGH1006: «viewContent» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «/View» tekura.desire2learn.com/d2l/le/content/1
HREF LOST | activity        | gold no <a> |    70 |   50 |  41 | ANZH104: «Track in Google Earth» earth.google.com/web/data=mickjqojciexeg ;; ARFUN02: «Link of example» claude.site/artifacts/5cb1c0f1-995c-48ff ;; BLL126: «audio» drive.google.com/drive/u/0/folders/1oc30
HREF LOST | table           | gold <a>    |    54 |   14 |  13 | BLL254: «[science]» drive.google.com/file/d/1ruoql7fz1snuhrq ;; BLL254: «[scissors]» drive.google.com/file/d/1ruoql7fz1snuhrq ;; BLL254: «[thumbprint]» drive.google.com/file/d/1ruoql7fz1snuhrq
HREF LOST | activity        | gold <a>    |    33 |   11 |   6 | ANZH104: «Google Lens» lens.google/#cta-section ;; ANZH104: «Seek by iNaturalist» inaturalist.org/pages/seek_app ;; CEDT301: «Origins of New Zealand popular» teara.govt.nz/en/popular-music/page-1
HREF LOST | body            | gold <a>    |    21 |    7 |   7 | AGH1009: «Yara N-Sensor - to variably ap» yara.co.nz/crop-nutrition/farmers-toolbo ;; AGH1009: «Yara N-Sensor - to variably ap» yara.co.nz/crop-nutrition/farmers-toolbo ;; ANZH205: «Waitangi Treaty Grounds | Visi» waitan
